,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
285,11,1293,Gastroesophageal reflux disease,enfermedad por reflujo gastroesofÃ¡gico,ACIDITY,GER,GERD,Gastroesophageal reflux,Maladie reflux gastroesophageal,MRGO (Maladie reflux gastroesophageal),gastro-oesofagale reflux,GORD (gastro-oesophageal reflux disease),Reflux Gatro-Oesophagien,kÃ¨ bwile,Asid,,,,
286,10,33334475,Odema(Clinical Examination),,,,,,,,,,,,,,,,
287,10,33334351,Hiatus Hernia,,,,,,,,,,,,,,,,
288,10,141676,Duodenal Perforation,perforaciÃ_n duodenal,perforatie van duodenum,,,,,,,,,,,,,,
289,10,33334306,Acute Pancreatitis with Pseudocyst,,,,,,,,,,,,,,,,
290,10,33334282,Pain (History),,,,,,,,,,,,,,,,
291,10,33334342,Fistula in ano,,,,,,,,,,,,,,,,
292,10,33334024,Investigation Free Text,Investigation,Other Test Notes,,,,,,,,,,,,,,
293,10,33334250,HTCM+: Hypertension Controlled on medication,,,,,,,,,,,,,,,,
294,10,33334093,PRHC+ : Pain in the right hypochondrium,,,,,,,,,,,,,,,,
295,10,33334345,Gastric Outlet Obstruction,,,,,,,,,,,,,,,,
296,10,33334144,Surgeons (Main Operation Findings),,,,,,,,,,,,,,,,
297,10,33334493,Neuropathic Current-like,,,,,,,,,,,,,,,,
298,10,33334568,Broken relationships,,,,,,,,,,,,,,,,
299,9,33334531,Ryles's Tube,,,,,,,,,,,,,,,,
300,9,4,ASTHMA EXACERBATION,Asthma relapse,EXACERBATION D'ASTHME,Asthma with exacerbation,Ø¯Ù…ÛÅ Ú©Ø§ Ø¨Ú¯Ú‘Ù†Ø§,,,,,,,,,,,,
301,9,33334533,Ostomy Care,,,,,,,,,,,,,,,,
302,9,33334286,Diabetes,,,,,,,,,,,,,,,,
303,9,588,Clubbing,,,,,,,,,,,,,,,,
304,9,33334395,Retroperitoneal Tumour,,,,,,,,,,,,,,,,
305,8,127160,Saturnine Tremor,temblor saturnino,,,,,,,,,,,,,,,
306,8,33334539,Bleeding Details,,,,,,,,,,,,,,,,
307,8,1299,Amylase,amylase measurement,Amylase,Amilaz,,,,,,,,,,,,,
308,8,33334046,Infundibulum retracted laterally,,,,,,,,,,,,,,,,
309,8,5945,FEVER,,,,,,,,,,,,,,,,
310,8,33334321,Ca Duodenum,,,,,,,,,,,,,,,,
311,8,2,"ANEMIA, HEMOLYSIS","ANÃ‰MIE, HÃ‰MOLYSE",Hemolytic anemia,"Anemia, hemolytic",Ø®ÙˆÙ† Ú©ÛŒ Ú©Ù…ÛŒØŒ  Ø®ÙˆÙ† Ú©Û’ Ø_Ø±Ø® Ø°Ø±Ø§Øª Ù_ÙˆÙ_Ù†Û’ Ú©ÛŒ ÙˆØ¬ÛÅ Ø_Û’,,,,,,,,,,,,
312,8,111699,Umbilical Hernia,hernia umbilical,hernia umbilicalis,Hernie ombilicale,ThoÃ¡t vá»‹ rá»‘n,,,,,,,,,,,,
313,8,126224,Specimen Unsatisfactory for Diagnosis,espÃ©cimen inadecuado para diagnÃ_stico,espÃ©cimen insatisfactorio para el diagnÃ_stico,,,,,,,,,,,,,,
314,8,33334327,Ca Ovary,,,,,,,,,,,,,,,,
315,8,1040,"HIV RAPID TEST 1, QUALITATIVE",HIV RAPID 1 QUAL,"Human immunodeficiency virus antibody, spot test","TEST RAPID VIH 1, qualitative",TÃ¨s RAPID VIH 1 kalitatif,,,,,,,,,,,,
316,8,33334251,HTCM-: Hypertension Uncontrolled on irregular medication,,,,,,,,,,,,,,,,
317,8,101,"X-RAY, ABDOMEN",ABDOMINAL X-RAY,ABDOMINAL XRAY,KUB,X-RAY ABDOMEN,,,,,,,,,,,,
318,8,33334094,PE+ : Pain in the epigastric region,,,,,,,,,,,,,,,,
319,8,33334494,Neuropathic Shooting,,,,,,,,,,,,,,,,
320,8,33334289,ECHO,,,,,,,,,,,,,,,,
321,8,33334548,Family dysfunctional(Family and Social Aspect),,,,,,,,,,,,,,,,
322,8,33334254,Comment (Past Surgical History),,,,,,,,,,,,,,,,
323,8,119566,DEMENTIA,demencia,Máº¥t trÃ_ nhá»›,DÃ©mence,Demans,,,,,,,,,,,,
324,8,33334242,Follow up with,,,,,,,,,,,,,,,,
325,8,33334496,Neuropathic Pinpricking,,,,,,,,,,,,,,,,
326,7,33334550,Caregiver attitude negative(Family and Social Aspect),,,,,,,,,,,,,,,,
327,7,33334375,Obscure GI Bleeding,,,,,,,,,,,,,,,,
328,7,33334245,No. of Gallstones,,,,,,,,,,,,,,,,
329,7,57,YELLOW FEVER,fiebre amarilla,YELLOW JACK,,,,,,,,,,,,,,
330,7,159643,Serum magnesium measurement,Mesure de magnÃ©sium sÃ©rique,Mezi sewÃ_m mayezyÃ_m,,,,,,,,,,,,,,
331,7,33334153,Comment (Swelling History),,,,,,,,,,,,,,,,
332,7,5165,MURMUR DIASTOLIC RUMBLE GRADE,,,,,,,,,,,,,,,,
333,7,126389,Skin Sensation Disturbance,sensibilidad anormal de la piel,,,,,,,,,,,,,,,
334,7,33334155,Swelling (History),,,,,,,,,,,,,,,,
335,7,126513,Sickle cell trait,rasgo de drepanocitosis,sikkelcel 'trait',Heterozygous for hemoglobin S,Trait hematies falciformes,SCT,SCT (sickle cell trait),Tras anemi falsifÃ_m,,,,,,,,,
336,7,161235,Immediate (status),STAT,STAT (statim) - Immediate,,,,,,,,,,,,,,
337,7,110277,Donor for Intestine Transplant,,,,,,,,,,,,,,,,
338,7,33334302,Abscess,,,,,,,,,,,,,,,,
339,7,33334368,Liver Injury,,,,,,,,,,,,,,,,
340,7,952,ABSOLUTE LYMPHOCYTE COUNT,ALC,,,,,,,,,,,,,,,
341,6,33334255,Comment (Allergy),,,,,,,,,,,,,,,,
342,6,33334291,Adhesions,,,,,,,,,,,,,,,,
343,6,33334177,Size(L/E),,,,,,,,,,,,,,,,
344,6,33334476,Lymphadenopathy(Clinical Examination),,,,,,,,,,,,,,,,
345,6,33334551,Withdrawn,,,,,,,,,,,,,,,,
346,6,33334378,Oesophagus Stricture Benign,,,,,,,,,,,,,,,,
347,6,33334530,Dysphagia Details,,,,,,,,,,,,,,,,
348,6,33334047,Calot's triangle dissected,,,,,,,,,,,,,,,,
349,6,33334354,Intesinal Stricture Benign,,,,,,,,,,,,,,,,
350,6,33334036,Cynosis,,,,,,,,,,,,,,,,
351,6,33334111,Patient is obese,,,,,,,,,,,,,,,,
352,6,679,RED BLOOD CELLS,RBC,RB CELLS,RBCS,RBC count,Globules rouges,Globil wouj,,,,,,,,,,
353,6,1321,HEPATITIS B TEST (CUT-OFF OD),HEP B TEST (CUT-OFF OD),,,,,,,,,,,,,,,
354,6,33334048,Critical view of safety ascertained,,,,,,,,,,,,,,,,
355,6,855,ERYTHROCYTE SEDIMENTATION RATE,ESR,SED RATE,WESTERGREN SED RATE,Vitesse de Sedimentation,Vites sedimentasyon,,,,,,,,,,,
356,6,123824,Uncompensated Swallowing Impairment,alteraciÃ_n para deglutir no compensada,,,,,,,,,,,,,,,
357,6,1007,HIGH-DENSITY LIPOPROTEIN CHOLESTEROL,HDL,HDL,LipoprotÃ©ines cholestÃ©rol de haute densitÃ©,Mas volimik kolestewÃ_l ki wo lipoprotein,,,,,,,,,,,,
358,6,110771,Stromal Tumor of Digestive System,tumor del estroma gastrointestinal,gastro-intestinale strumale tumor (GIST),GIST (gastrointestinal stromal tumor),Gastro-intestinal stromal tumor,Tumeur stromale gastro-intestinale,,,,,,,,,,,
359,6,33334130,Cough Impule,,,,,,,,,,,,,,,,
360,6,33334412,Anastomotic leak,,,,,,,,,,,,,,,,
361,6,33334141,Palmers Point,,,,,,,,,,,,,,,,
362,6,33334470,Icterus,,,,,,,,,,,,,,,,
363,6,133795,Mucous Extravasation Cyst of Salivary Gland,quiste mucoso por extravasaciÃ_n de glÃ¡ndula salival,muceuze extravasaat cyste van speekselklier,,,,,,,,,,,,,,
364,6,33334556,Denial(Emotional Stage),,,,,,,,,,,,,,,,
365,6,175,DIABETES MELLITUS,diabetes mellitus,DM,,,,,,,,,,,,,,
366,6,33334288,L/E,,,,,,,,,,,,,,,,
367,6,33334350,Haemorrhoids,,,,,,,,,,,,,,,,
368,6,885,PAPANICOLAOU SMEAR,PAP SMEAR,PAP TEST,Frottis Papanicolaou,Papanicolaou tÃ¨s,,,,,,,,,,,,
369,5,992,TINEA VERSICOLOR,pitiriasis versicolor,Pityriasis Versicolor,pityriasis versicolor,_ _°_·____Ñ†___µÑ‚__Ñ‹__ _»_¸Ñˆ_°__,,,,,,,,,,,,
370,5,33334137,Cystic duct,,,,,,,,,,,,,,,,
371,5,887,SERUM GLUCOSE,GLYCÃ‰MIE,GLU,BLOOD SUGAR,GLUCOSE,"Glucose measurement, venous blood, random",Blood glucose,Egzamen sik,,,,,,,,,
372,5,160912,Fasting blood glucose measurement (mg/dL),Fasting blood sugar measurement (mg/dL),Fasting blood glucose,GlycÃ©mie a jeun (mg/dL),Mesure Ã  jeun de glucose dans le sang (mg / dl),,,,,,,,,,,,
373,5,33334071,Mesh in IPOM,,,,,,,,,,,,,,,,
374,5,33334148,Liver (Laparoscopic Cholecystectomy),,,,,,,,,,,,,,,,
375,5,56,URINE MICROSCOPY,ANALYSE MICROSCOPIQUE D'URINE,,,,,,,,,,,,,,,
376,5,5470,ORDER COMPLETE BLOOD COUNT,,,,,,,,,,,,,,,,
377,5,160914,Post-prandial blood sugar measurement (mg/dL),PPBS,Post-prandial blood glucose measurement (mg/dL),Glucose measurement after a meal (mg/dL),GlycÃ©mie post prandial (mg/dL),GlycÃ©mie postprandiale (mg / dL),,,,,,,,,,,
378,5,33334127,L / E: Reducible,,,,,,,,,,,,,,,,
379,5,116954,Inguinal Hernia,hernia inguinal,hernia inguinalis,Hernie inguinale,ThoÃ¡t vá»‹ báº_n,Ã¨ni enguinal,,,,,,,,,,,
380,5,119702,Ovarian cyst,quiste ovÃ¡rico,Cyst of ovary,Kyste de lâ€™ovaire,U nang buá»“ng trá»©ng,Kis nan ovÃ¨,,,,,,,,,,,
381,5,118864,Diverticulosis of Sigmoid,diverticulosis de colon sigmoides,,,,,,,,,,,,,,,
382,5,33334457,Impression about Illness,,,,,,,,,,,,,,,,
383,5,33334489,Visceral Squeezing,,,,,,,,,,,,,,,,
384,5,163187,Mean Arterial Pressure,Presyon ateryÃ¨l mwayen (MAP),MAP,La pression artÃ©rielle moyenne (PAM),,,,,,,,,,,,,
385,5,1033,CHLAMYDIA TRACHOMATIS POLYMERASE CHAIN REACTION,CT PCR,CHLAMYDIA PCR,CT PCR,,,,,,,,,,,,,
386,5,33334113,No tenderness is present,,,,,,,,,,,,,,,,
387,5,33334545,Community Non Supportive(Family and Social Aspect),,,,,,,,,,,,,,,,
388,5,872,RUNNING NOSE,,,,,,,,,,,,,,,,
389,5,33334287,Abdominal Scar,,,,,,,,,,,,,,,,
390,5,121804,Adenocarcinoma of Stomach,adenocarcinoma gÃ¡strico,,,,,,,,,,,,,,,
391,5,33334105,Patient is a known diabetic on oral hypoglycemic medication,,,,,,,,,,,,,,,,
392,5,121097,Blepharophimosis Syndrome,sÃ_ndrome de blefarofimosis,,,,,,,,,,,,,,,
393,5,130974,Pancreatic Fistula,fÃ_stula pancreÃ¡tica,pancreasfistel,RÃ_ tá»¥y,,,,,,,,,,,,,
394,5,33334394,Rectum Prolapse,,,,,,,,,,,,,,,,
395,5,110293,Secondary Testicular Hypogonadism,hipognonadismo hipogonadotrÃ_fico,hypogonadotroop hypogonadisme,,,,,,,,,,,,,,
396,5,33334096,PB+ : The pain radiates to back,,,,,,,,,,,,,,,,
397,5,33334370,Lower GI Bleeding,,,,,,,,,,,,,,,,
398,5,110133,Gassy Chest Pain,dolor de pecho,pijn op de borst,Náº·ng ngá»±c,,,,,,,,,,,,,
399,5,33334123,L / E: Swelling,,,,,,,,,,,,,,,,
400,5,33334474,Cyanosis(Clinical Examination),,,,,,,,,,,,,,,,
401,5,33334070,Contents in IPOM,,,,,,,,,,,,,,,,
402,5,33334319,Ca Caecum,,,,,,,,,,,,,,,,
403,4,33334056,Laproscopic HERNIA Repair,,,,,,,,,,,,,,,,
404,4,149197,Acquired immunodeficiency syndrome,SIDA,AIDS,AIDS (acquired immunodeficiency syndrome),AIDS (acquired immune deficiency syndrome),Syndrome d'immunodÃ©ficience acquise,SIDA,Suy giáº£m miá»…n dá»‹ch máº¯c pháº£i,Sydrome de 'IMMUNODÃ‰FICIENCEÂ AcquiseÂ (SIDA),Maladi SIDA,,,,,,,
405,4,33334126,L / E: Bilateral,,,,,,,,,,,,,,,,
406,4,33334162,Other Comments (History),,,,,,,,,,,,,,,,
407,4,301,HB,,,,,,,,,,,,,,,,
408,4,33334138,Normal (Cystic duct),,,,,,,,,,,,,,,,
409,4,33334455,Comments(Patient Diagnosis Revealed By),,,,,,,,,,,,,,,,
410,4,33334072,Size in IPOM,,,,,,,,,,,,,,,,
411,4,116331,Leukemia,leucemia,LeucÃ©mie myÃ©loÃ¯de chronique,Bá»‡nh báº¡ch cáº§u,,,,,,,,,,,,,
412,4,33334307,Adrenal Tumour,,,,,,,,,,,,,,,,
413,4,149607,Acute Pancreatitis,pancreatitis aguda,acute pancreatitis,,,,,,,,,,,,,,
414,4,33334258,Other Scars,,,,,,,,,,,,,,,,
415,4,135507,Lupus Panniculitis,paniculitis por lupus,lupus panniculitis,,,,,,,,,,,,,,
416,4,33334181,Hb,,,,,,,,,,,,,,,,
417,4,33334272,DateTime (PFT),,,,,,,,,,,,,,,,
418,4,33334112,Patient is morbidly obese,,,,,,,,,,,,,,,,
419,4,33334385,Polyposis coli,,,,,,,,,,,,,,,,
420,4,33334296,IPOM,,,,,,,,,,,,,,,,
421,4,1688,RECURRENCE OF DISEASE,disease recurrence,RÃ‰APPARENCE DE LA MALADIE,,,,,,,,,,,,,,
422,4,137311,Infection due to Mycobacterium Kansasii,infecciÃ_n por Mycobacterium kansasii,infectie door Mycobacterium kansasii,,,,,,,,,,,,,,
423,4,33334092,Other Procedures in Sleeve Gastrectomy,,,,,,,,,,,,,,,,
424,4,156786,infection by Baylisascaris,,,,,,,,,,,,,,,,
425,4,33334119,Abdomina Scar: Laparoscopic,,,,,,,,,,,,,,,,
426,4,33334206,Lipase(BI),,,,,,,,,,,,,,,,
427,4,33334449,CCI Grade V (Death),,,,,,,,,,,,,,,,
428,4,5514,OUTSIDE HC PRIVATE DR,,,,,,,,,,,,,,,,
429,4,33334171,Coronary Artery Disease (Past Medical History),,,,,,,,,,,,,,,,
430,4,6039,HEADACHE,,,,,,,,,,,,,,,,
431,4,33334067,Omental in IPOM,,,,,,,,,,,,,,,,
432,4,33334252,HTM- : Patient not taking medication,,,,,,,,,,,,,,,,
433,4,114382,Pancreatitis,pancreatitis,pancreatitis,,,,,,,,,,,,,,
434,4,1015,HEMATOCRIT,HÃ©matocrite,ni kiasi cha chembe chembe nyeundu za damu mwilini,HCT,CRIT,HCT,PACKED CELL VOLUME,PCV,Ematokrit,,,,,,,,
435,4,127847,Rectovaginal fistula,fÃ_stula rectovaginal,RECTOVAGINAL rÃ_,,,,,,,,,,,,,,
436,4,33334069,Adhesilysis done in IPOM,,,,,,,,,,,,,,,,
437,4,33334267,EUS/ERCP,,,,,,,,,,,,,,,,
438,3,5014,HIV STAGING - BACTERIAL INFECTION,,,,,,,,,,,,,,,,
439,3,145625,Cholelithiasis,"Cholelithiasis, NOS",CholÃ©lithiase,Sá»èi máº_t,Sá»èi Ä‘Æ°á»ùng máº_t,,,,,,,,,,,,
440,3,33334161,Comment (APD History),,,,,,,,,,,,,,,,
441,3,114714,Orgasm Disorder,trastorno orgÃ¡smico,orgasmestoornis,,,,,,,,,,,,,,
442,3,33334098,APD,,,,,,,,,,,,,,,,
443,3,33334268,PFT,,,,,,,,,,,,,,,,
444,3,141,Typhoid fever,fiebre tifoidea,Enteric fever,tyfuskoorts,Fievre Typhoide,_‘Ñ€Ñ_Ñˆ______ Ñ‚_¸Ñ„,LafyÃ¨v tifoyid,,,,,,,,,,
445,3,113214,RBBB Plus LA Hemiblock,bloqueo de la rama derecha del fascÃ_culo Y bloqueo fascicular anterior izquierdo,,,,,,,,,,,,,,,
446,3,117885,Gastrointestinal Fistula,fÃ_stula gastrointestinal,,,,,,,,,,,,,,,
447,3,129360,Postoperative Biliary Stricture,estrechez biliar postoperatoria,postoperatieve galwegstrictuur,,,,,,,,,,,,,,
448,3,118821,DUODENAL ULCER,enfermedad ulcerosa del duodeno,UlcÃ¨re du duodÃ©num,TÃ¡ trÃ ng,,,,,,,,,,,,,
449,3,139547,Generalised abdominal pain,dolor abdominal generalizado,gegeneraliseerde buikpijn,Douleurs abdominales gÃ©nÃ©ralisÃ©es,DoulÃ¨ nan tout vant,,,,,,,,,,,,
450,3,1023,MONOCYTES,MONOS,MONOS,,,,,,,,,,,,,,
451,3,112749,Staphylococcal Gastroenteritis,gastroenteritis estafilocÃ_cica,gastro-enteritis door stafylokokken,,,,,,,,,,,,,,
452,3,110465,Foot Laceration,laceraciÃ_n del pie,Foot rÃ¡ch,,,,,,,,,,,,,,
453,3,33334150,Comments (Laproscopic HERNIA Repair),,,,,,,,,,,,,,,,
454,3,1320,HEPATITIS B TEST (OD) - QUANTITATIVE,HEP B TEST (OD) - QUANT,,,,,,,,,,,,,,,
455,3,161505,TSH measurement,Thyroid stimulating hormone test,TSH test,TSH level,Thyroid test de stimulant hormonal,TÃ¨s tiwoyid stimilan Ã_mÃ_nal,,,,,,,,,,,
456,3,302,URINALYSIS ORDER,ANALYSE D'URINE,UA,,,,,,,,,,,,,,
457,3,1428,STI TREATMENT DATE,Date de traitement des IST,STD Tx date,STD treatment date,,,,,,,,,,,,,
458,3,5956,COUGH,,,,,,,,,,,,,,,,
459,3,895,UPPER RESPIRATORY TRACT INFECTION,infecciÃ_n de vÃ_as respiratorias superiores,bovenste luchtweginfectie,,,,,,,,,,,,,,
460,3,110488,Transcobalamin II Deficiency,deficiencia de transcobalamina II,transcobalamine II deficiÃ«ntie anemie,_”_µÑ„_¸Ñ†_¸Ñ‚ Ñ‚Ñ€_°__ÑÅ_º___±_°_»_°___¸___° II,,,,,,,,,,,,,
461,3,33334073,Fixation in IPOM: Tacks,,,,,,,,,,,,,,,,
462,3,33334323,Ca jejunum,,,,,,,,,,,,,,,,
463,3,1006,TOTAL CHOLESTEROL,CHOL,CHOLESTEROL,CHOLESTÃ‰ROL TOTAL,kolestewÃ_l total,,,,,,,,,,,,
464,3,33334128,L / E: Partially Reducible,,,,,,,,,,,,,,,,
465,3,1030,"HIV DNA POLYMERASE CHAIN REACTION, QUALITATIVE","TEST VIH (PSR), QUALITATIF",ni hali ya  nzunguko wa usambazaji wa virusi vya ukimwi kwa kureact na chembechembe mwilini,HIV PCR Qual,HIV PCR QUAL,HIV QUAL,Tes VIH (PCR),,,,,,,,,,
466,3,1449,Gestational diabetes,DiabÃ¨te gestationnel,kisukari kinachotokea wakati wa ujauzito (mimba),dyabÃ¨t jÃ¨stasyonÃ¨l,,,,,,,,,,,,,
467,3,142100,Disorder of Connective Tissue,trastorno del tejido conectivo,,,,,,,,,,,,,,,
468,3,33334049,Adhesiolysis done,Adhesiolysis done in LC,,,,,,,,,,,,,,,
469,3,33334259,Other Examination Findings,,,,,,,,,,,,,,,,
470,3,128273,Pseudomyxoma Peritonei,seudomixoma peritoneal,pseudomyxoma peritonei,,,,,,,,,,,,,,
471,3,33334228,T3/T4/TSH,,,,,,,,,,,,,,,,
472,3,481,Dislocation,luxaciÃ_n de una articulaciÃ_n,Dislocated Joint,Dislocation,Debwatman,,,,,,,,,,,,
473,3,110517,Hereditary Nonpolyposis Colon Cancer,cÃ¡ncer de colon no relacionado con poliposis hereditaria,,,,,,,,,,,,,,,
474,3,159382,PHTC,Post HIV test counseling,conseils de post test VIH,Post tÃ¨s konsÃ¨y VIH,,,,,,,,,,,,,
475,3,161157,12-lead electrocardiogram,Electrocardiography,ECG/EKG,,,,,,,,,,,,,,
476,3,208,DUODENAL ULCER,enfermedad ulcerosa del duodeno,ULCER DUODENAL,duodenumulcus,,,,,,,,,,,,,
477,3,1008,LOW-DENSITY LIPOPROTEIN CHOLESTEROL,LDL,LDL,LipoprotÃ©ines de basse densitÃ© CHOLESTÃ‰ROL,Lipoprotein dansite ba kolestewÃ_l,,,,,,,,,,,,
478,3,110786,Carbon Dioxide in Blood Increased,hipercapnia,hypercapnie,,,,,,,,,,,,,,
479,3,118883,Disassociation Disorder,trastorno disociativo,Conversion Disorder,"Hysterical neurosis, conversion type",Hysterical disorder,Disassociation Rá»‘i loáº¡n,,,,,,,,,,,
480,3,33334297,Adhesions (IPOM),,,,,,,,,,,,,,,,
481,3,1034,"CHLAMYDIA TRACHOMATIS POLYMERASE CHAIN REACTION, QUALITATIVE",CT QUAL,CHLAMYDIA PCR QUAL,CT PCR QUAL,,,,,,,,,,,,,
482,3,111013,Gastrocnemius Tendon Rupture,ruptura del tendÃ_n del gemelo,ruptura de tendÃ_n de mÃºsculo gemelo,,,,,,,,,,,,,,
483,3,162419,Gas,,,,,,,,,,,,,,,,
484,3,33334065,Omental in LC,,,,,,,,,,,,,,,,
485,3,33334183,Platelet,,,,,,,,,,,,,,,,
486,3,507,KAPOSI'S SARCOMA OF SKIN,sarcoma de Kaposi (clÃ_nico),KAPOSI SARCOMA,KS,_¡_°Ñ€_º_____° ___°_¿__Ñˆ_¸ _º___¶_¸,Sarcome de kaposi de la peau,Sakom kaposi po,,,,,,,,,,
487,3,130511,Perinatal Jaundice due to Inspissated Bile Syndrome,ictericia perinatal por sÃ_ndrome de bilis espesa,,,,,,,,,,,,,,,
488,3,33334156,Fever (History),,,,,,,,,,,,,,,,
489,3,1009,TRIGLYCERIDES,TG,TG,TRIG,TRIGLYCÃ‰RIDES,trigliserid,,,,,,,,,,,
490,3,162262,Liter,L,,,,,,,,,,,,,,,
491,3,8,BILIARY TRACT DISEASE NOT OTHERWISE SPECIFIED,BILIARY TRACT DISEASE NOS,"MALADIE DES VOIES BILIAIRES, NON SPECIFIÃ‰ AUTREMENT",Ù_ØªÛ’ Ú©ÛŒ Ø¨ÛŒÙ…Ø§Ø±ÛŒØŒ ØªÙÅØµÛŒÙ„Ø§Øª Ù…ÙˆØ¬ÙˆØ¯ Ù†ÛÅÛŒÚº,,,,,,,,,,,,,
492,3,33334104,Patient is a know diabetic on diet control,,,,,,,,,,,,,,,,
493,3,33334235,2D ECHO Comment,,,,,,,,,,,,,,,,
494,3,1855,In good health,good health,stable,EN BONNE SANTÃ‰,HEALTHY,,,,,,,,,,,,
495,3,1335,ABSOLUTE IMMATURE CELL COUNT,,,,,,,,,,,,,,,,
496,3,110834,Gastritis,gastritis,Gastrite,"Gastritis, nos",ViÃªm dáº¡ dÃ y,ViÃªm bao tá»_,Gastrit,,,,,,,,,,
497,3,33334006,Registration Fee,,,,,,,,,,,,,,,,
498,3,1041,"HIV ENZYME IMMUNOASSAY, QUANTITATIVE","TEST VIH (ELISA), QUANTITATIF",Ukimwi ulioenea zaidi,HIV EIA QUANT,HIV EIA QUANT,HIV ELISA QUANT,,,,,,,,,,,
499,3,162571,Patient,Patient,Pasyan,,,,,,,,,,,,,,
500,3,33334316,Ca Appendix,,,,,,,,,,,,,,,,
501,3,163686,Prezans levi  nan sediman pipi  pa mikwoskospi,Yeast presence in urine sediment by light microscopy,PrÃ©sence de levure dans les sÃ©diments  de l'urine par microscope optique,Yeast urine test,Test de levure dans l'urine,TÃ¨s levi nan pipi,,,,,,,,,,,
502,3,1014,LACTATE DEHYDROGENASE,LDH,LACTIC DEHYDROGENASE,LD,LDH,TOTAL LDH,Lactate dÃ©shydrogÃ©nase,Laktat deidrojenaz,,,,,,,,,
503,3,162351,Bar,Bar(s),,,,,,,,,,,,,,,
504,3,33334095,PRIF+ : Pain in the right illiac fossa,,,,,,,,,,,,,,,,
505,3,10,"BRONCHITIS, ACUTE",bronquitis aguda,ACUTE BRONCHITIS,"BRONCHITE, AIGUE",Ø_Ø§Ù†Ø_ Ú©ÛŒ Ù†Ø§Ù„ÛŒ Ú©Ø§ Ø§ÛŒØ_Ø§ Ø§Ù†ÙÅÛŒÚ©Ø´Ù† Ø¬Ùˆ Ø¯Ù†ÙˆÚº ÛŒØ§ ÛÅÙÅØªÙˆÚº Ù…ÛŒÚº ÛÅÙˆØ§ ÛÅÙˆ,,,,,,,,,,,,
506,3,1488,NON-PRODUCTIVE COUGH,Toux sÃ¨che,dry cough,Tous SÃ¨k,,,,,,,,,,,,,
507,3,5360,CURRENT OI THERAPY,,,,,,,,,,,,,,,,
508,3,111455,"Injury due to War Operations by Gases, Fumes, and Chemicals","herida de guerra por gases, vapores o sustancias quÃ_micas",,,,,,,,,,,,,,,
509,3,142592,Dengue,ugonjwa wa magharibi mwa afrika,dengue,Dengue,Dengue,dengue koorts,Dengue fever,Deng,,,,,,,,,
510,3,158211,Oxygen desaturation,DÃ©saturation en oxygÃ¨ne,Dezatirasyon nan oksijen,,,,,,,,,,,,,,
511,3,110129,Acute Necrotising Myelitis,mielitis necrosante aguda,,,,,,,,,,,,,,,
512,3,33334159,Vomiting (History),,,,,,,,,,,,,,,,
513,3,823,Wasting syndrome,enfermedad consuntiva,Wasting Disease,HIV wasting syndrome,Syndrome cachectique,Po ven zo,,,,,,,,,,,
514,3,33334054,Gallstone Size,,,,,,,,,,,,,,,,
515,3,33334175,TMGB+: Mild Tenderness present,,,,,,,,,,,,,,,,
516,3,33334347,Gynae problem,,,,,,,,,,,,,,,,
517,3,1920,Infusion Kit,IV kit,IV Kit,,,,,,,,,,,,,,
518,3,161461,Ziehl-Neelsen stain test,Acid fast bacilli test,AFB test,,,,,,,,,,,,,,
519,3,107,COUGH,,,,,,,,,,,,,,,,
520,3,110317,Distal Intestinal Obstruction Syndrome,sÃ_ndrome de obstrucciÃ_n intestinal distal,,,,,,,,,,,,,,,
521,3,162361,in,Inch,Inch(es),,,,,,,,,,,,,,
522,3,33334097,PS+ : The pain radiates to shoulder,,,,,,,,,,,,,,,,
523,3,111572,Vascular Insufficiency of Intestine,insuficiencia vascular intestinal,,,,,,,,,,,,,,,
524,3,117680,Haemangioma,hemangioma,hemangioma,hemangioom,HÃ©mangiome,U máº¡ch mÃ¡u,BÆ°á»›u máº¡ch mÃ¡u,,,,,,,,,,
525,3,33334147,GBT+ : Gallbladder was tense with bile,,,,,,,,,,,,,,,,
526,2,183,HYPERTENSION,hipertensiÃ_n arterial,,,,,,,,,,,,,,,
527,2,1298,VERY LOW DENSITY LIPOPROTEIN,VLDL,VLDL-CHOLESTEROL,LipoprotÃ©ines de trÃ¨s basse densitÃ©,Dansite lipoprotein ki ba anpil,,,,,,,,,,,,
528,2,159551,Traditional healer diagnosis comment,,,,,,,,,,,,,,,,
529,2,33334199,T. Protein,,,,,,,,,,,,,,,,
530,2,134910,Malignant Retroperitoneal Tumor,tumor retroperitoneal maligno,maligne neoplasma van het retroperitoneaal weefsel,,,,,,,,,,,,,,
531,2,147365,Bilateral Inguinal Hernia,hernia inguinal bilateral,dubbelzijdige hernia inguinalis,"Hernie inguinale bilatÃ©rale, sans occlusion ni gangrÃ¨ne",,,,,,,,,,,,,
532,2,33334215,Fasting C Peptide / PP Peptide,,,,,,,,,,,,,,,,
533,2,33334109,Anti Plateletes drugs stopped since,,,,,,,,,,,,,,,,
534,2,33334189,HbA1c,,,,,,,,,,,,,,,,
535,2,33334243,Amylase (BI),,,,,,,,,,,,,,,,
536,2,5015,HIV STAGING - PEDS THRUSH,,,,,,,,,,,,,,,,
537,2,110145,Renal Tract Candidiasis,candidiasis de vÃ_as urinarias,Tháº_n Tract candida,,,,,,,,,,,,,,
